Participant,gender,block,Efficiency,Partner_cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care,Choice,Allocation
6001,2,1,1,4,Altruistic,31.31 ,0.12 ,0.00 ,0.12 ,0,19.29 ,0,2
6001,2,1,1,6,Altruistic,11.31 ,0.48 ,0.12 ,0.24 ,0,12.86 ,0,3
6001,2,1,1,8,Altruistic,21.43 ,0.12 ,0.00 ,0.48 ,0,11.90 ,0,3
6001,2,1,1,10,Altruistic,50.00 ,0.00 ,0.00 ,0.00 ,0,49.64 ,0,4
6001,2,1,1,12,Altruistic,61.55 ,0.00 ,0.00 ,0.71 ,0,54.52 ,0,5
6001,2,1,1,14,Altruistic,56.19 ,0.00 ,0.00 ,0.00 ,0,59.88 ,0,5
6001,2,1,1,16,Altruistic,79.88 ,0.00 ,0.00 ,0.00 ,0,80.60 ,0,5
6001,2,1,1,18,Altruistic,83.69 ,0.36 ,0.24 ,0.00 ,0,79.05 ,0,5
6001,2,1,1,20,Altruistic,100.00 ,0.12 ,0.48 ,0.00 ,0,86.67 ,0,5
6001,2,1,2,4,Altruistic,12.74 ,0.12 ,0.00 ,0.60 ,0,12.38 ,0,4
6001,2,1,2,6,Altruistic,11.43 ,0.00 ,0.60 ,0.00 ,0,7.98 ,0,5
6001,2,1,2,8,Altruistic,14.64 ,0.00 ,0.00 ,0.00 ,0,10.00 ,1,5
6001,2,1,2,10,Altruistic,53.93 ,0.24 ,0.00 ,0.00 ,0,53.21 ,0,5
6001,2,1,2,12,Altruistic,62.14 ,0.48 ,0.36 ,0.36 ,0,57.74 ,1,5
6001,2,1,2,14,Altruistic,72.86 ,0.00 ,0.00 ,0.48 ,0,63.81 ,0,5
6001,2,1,2,16,Altruistic,76.07 ,0.00 ,0.00 ,0.71 ,0,64.17 ,0,5
6001,2,1,2,18,Altruistic,90.83 ,0.00 ,0.00 ,0.12 ,0,88.57 ,0,5
6001,2,1,2,20,Altruistic,100.00 ,0.00 ,0.24 ,0.00 ,0,100.00 ,0,5
6001,2,1,3,4,Altruistic,15.12 ,0.00 ,0.00 ,0.00 ,0,7.50 ,1,2
6001,2,1,3,6,Altruistic,15.12 ,0.24 ,0.00 ,0.00 ,0,13.81 ,1,3
6001,2,1,3,8,Altruistic,3.33 ,0.00 ,0.12 ,0.00 ,0,15.24 ,1,2
6001,2,1,3,10,Altruistic,51.55 ,0.00 ,0.00 ,0.12 ,0,52.62 ,1,5
6001,2,1,3,12,Altruistic,56.07 ,0.36 ,0.00 ,0.00 ,0,50.12 ,1,5
6001,2,1,3,14,Altruistic,75.12 ,0.24 ,0.00 ,0.36 ,0,64.52 ,1,5
6001,2,1,3,16,Altruistic,37.62 ,0.71 ,0.36 ,0.00 ,0,17.98 ,1,6
6001,2,1,3,18,Altruistic,89.76 ,0.00 ,0.00 ,0.60 ,0,77.50 ,1,5
6001,2,1,3,20,Altruistic,100.00 ,0.00 ,0.00 ,0.00 ,0,97.14 ,1,5
6001,2,2,1,4,Altruistic,10.36 ,2.98 ,2.26 ,2.86 ,0,9.88 ,0,5
6001,2,2,1,6,Altruistic,13.93 ,7.98 ,3.45 ,3.69 ,0,11.07 ,0,5
6001,2,2,1,8,Altruistic,45.48 ,7.62 ,3.93 ,7.86 ,0,40.60 ,0,5
6001,2,2,1,10,Altruistic,49.88 ,50.48 ,7.26 ,6.55 ,0,50.48 ,0,5
6001,2,2,1,12,Altruistic,59.76 ,5.95 ,5.00 ,8.57 ,0,57.38 ,0,5
6001,2,2,1,14,Altruistic,66.90 ,7.02 ,7.98 ,7.50 ,0,55.83 ,0,5
6001,2,2,1,16,Altruistic,82.74 ,49.76 ,5.95 ,50.83 ,0,51.90 ,0,5
6001,2,2,1,18,Altruistic,64.52 ,63.57 ,8.10 ,12.26 ,0,62.26 ,0,5
6001,2,2,1,20,Altruistic,100.00 ,74.52 ,5.83 ,7.62 ,0,100.00 ,0,5
6001,2,2,2,4,Altruistic,13.33 ,7.38 ,1.90 ,2.62 ,0,6.31 ,0,4
6001,2,2,2,6,Altruistic,15.60 ,6.79 ,2.50 ,2.86 ,0,13.10 ,0,5
6001,2,2,2,8,Altruistic,44.52 ,5.60 ,3.69 ,4.64 ,0,42.74 ,0,5
6001,2,2,2,10,Altruistic,50.00 ,5.12 ,4.29 ,4.64 ,0,52.38 ,0,5
6001,2,2,2,12,Altruistic,68.69 ,0.00 ,0.83 ,0.00 ,0,59.76 ,1,5
6001,2,2,2,14,Altruistic,56.07 ,0.00 ,0.00 ,0.00 ,0,61.67 ,1,5
