Subject,Gender,Run,Trial,Partner_cost,PainReduce,Efficiency,Choice,Allocation,Choice_Miss,Allocation_Miss
301,2,1,1,16,12.8,3,0,14,0,0
301,2,1,2,4,3.2,3,1,2,0,0
301,2,1,3,6,4.8,2,1,2,0,0
301,2,1,4,4,3.2,1,0,5,0,0
301,2,1,5,14,11.2,2,1,12,0,0
301,2,1,6,10,8,3,1,5,0,0
301,2,1,7,18,14.4,3,1,5,0,0
301,2,1,8,14,11.2,1,1,8,0,0
301,2,1,9,18,14.4,1,0,8,0,0
301,2,1,10,6,4.8,3,1,4,0,0
301,2,1,11,10,8,1,1,7,0,0
301,2,1,12,14,11.2,3,1,10,0,0
301,2,1,13,6,4.8,1,0,5,0,0
301,2,1,14,20,16,2,0,20,0,0
301,2,1,15,8,6.4,2,0,3,0,0
301,2,1,16,20,16,1,0,7,0,0
301,2,1,17,12,9.6,2,1,6,0,0
301,2,1,18,12,9.6,1,0,4,0,0
301,2,1,19,8,6.4,3,1,2,0,0
301,2,1,20,20,16,3,1,5,0,0
301,2,1,21,18,14.4,2,1,2,0,0
301,2,1,22,16,12.8,1,0,6,0,0
301,2,1,23,8,6.4,1,0,4,0,0
301,2,1,24,10,8,2,1,2,0,0
301,2,1,25,12,9.6,3,1,5,0,0
301,2,1,26,16,12.8,2,1,4,0,0
301,2,1,27,4,3.2,2,1,4,0,0
301,2,2,28,4,3.2,1,0,2,0,0
301,2,2,29,16,12.8,3,1,4,0,0
301,2,2,30,14,11.2,1,0,5,0,0
301,2,2,31,18,14.4,1,0,5,0,0
301,2,2,32,6,4.8,2,1,2,0,0
301,2,2,33,14,11.2,2,1,5,0,0
301,2,2,34,4,3.2,3,1,2,0,0
301,2,2,35,10,8,3,1,4,0,0
301,2,2,36,20,16,2,0,20,0,0
301,2,2,37,18,14.4,3,1,16,0,0
301,2,2,38,8,6.4,2,1,8,0,0
301,2,2,39,6,4.8,3,1,4,0,0
301,2,2,40,12,9.6,2,1,8,0,0
301,2,2,41,14,11.2,3,1,5,0,0
301,2,2,42,18,14.4,2,0,17,0,0
301,2,2,43,10,8,1,0,7,0,0
301,2,2,44,8,6.4,3,1,7,0,0
301,2,2,45,6,4.8,1,0,6,0,0
301,2,2,46,20,16,1,0,11,0,0
