Subject,Cost,PartnerIntention,Gratitude,Guilt,Obligation,Indebtedness,SOB100,Care
301,6,Altruistic,21,10,7,8,28,8
301,6,Strategic,21,12,6,15,24,33
301,10,Altruistic,36,17,29,9,56,15
301,10,Strategic,28,15,7,6,48,32
301,14,Altruistic,21,9,11,8,56,35
301,14,Strategic,17,12,9,7,80,34
301,18,Altruistic,13,5,8,1,44,36
301,18,Strategic,8,9,6,19,76,25
301,20,Altruistic,55,14,6,7,36,38
301,20,Strategic,24,8,15,7,76,43
302,6,Altruistic,31,4,4,4,0,28
302,6,Strategic,28,3,3,4,24,21
302,10,Altruistic,61,5,4,4,0,49
302,10,Strategic,47,3,4,30,48,40
302,14,Altruistic,60,6,6,7,0,60
302,14,Strategic,50,4,8,4,64,50
302,18,Altruistic,79,15,10,12,0,79
302,18,Strategic,75,12,9,11,80,77
302,20,Altruistic,99,79,69,69,0,98
302,20,Strategic,83,61,40,50,100,82
303,6,Altruistic,39,21,5,38,0,39
303,6,Strategic,19,5,20,9,40,20
303,10,Altruistic,79,60,10,40,0,79
303,10,Strategic,79,22,21,41,60,60
303,14,Altruistic,49,31,7,40,0,59
303,14,Strategic,51,21,7,21,80,59
303,18,Altruistic,60,40,6,40,0,71
303,18,Strategic,41,21,21,20,92,59
303,20,Altruistic,92,41,9,58,0,91
303,20,Strategic,40,19,20,21,100,79
304,6,Altruistic,36,17,12,37,0,21
304,6,Strategic,20,4,3,29,24,7
304,10,Altruistic,81,80,59,98,0,58
304,10,Strategic,39,22,4,80,40,19
304,14,Altruistic,71,61,21,66,0,61
304,14,Strategic,51,26,19,60,56,39
304,18,Altruistic,84,78,31,86,0,81
304,18,Strategic,39,20,34,70,72,40
304,20,Altruistic,94,95,18,98,0,90
304,20,Strategic,79,59,19,66,80,29
305,6,Altruistic,25,0,0,0,0,25
305,6,Strategic,20,0,0,0,24,20
305,10,Altruistic,70,2,0,0,0,70
305,10,Strategic,60,1,0,0,40,60
305,14,Altruistic,35,1,0,0,0,35
305,14,Strategic,30,1,0,0,56,30
305,18,Altruistic,90,2,0,0,0,90
305,18,Strategic,84,1,0,0,72,85
305,20,Altruistic,100,3,0,0,0,98
305,20,Strategic,64,1,0,0,80,65
306,6,Altruistic,31,29,39,40,0,21
306,6,Strategic,18,12,30,18,40,13
306,10,Altruistic,59,21,59,77,0,75
306,10,Strategic,39,5,58,61,48,41
306,14,Altruistic,49,24,47,41,0,49
306,14,Strategic,32,20,40,41,60,49
306,18,Altruistic,70,35,30,41,0,67
306,18,Strategic,41,29,57,51,64,47
306,20,Altruistic,79,69,51,80,0,79
306,20,Strategic,67,20,60,69,72,78
307,6,Altruistic,33,51,6,3,0,32
307,6,Strategic,26,7,6,7,40,28
307,10,Altruistic,51,79,21,4,0,64
307,10,Strategic,32,5,20,34,52,31
307,14,Altruistic,75,74,5,4,0,73
307,14,Strategic,52,31,61,58,68,51
307,18,Altruistic,72,83,4,3,0,79
307,18,Strategic,65,25,74,69,76,64
307,20,Altruistic,92,92,4,4,0,92
307,20,Strategic,48,73,79,52,80,50
308,6,Altruistic,24,22,19,22,32,35
308,6,Strategic,16,10,12,12,32,30
308,10,Altruistic,73,50,56,47,40,79
308,10,Strategic,51,33,33,20,40,55
308,14,Altruistic,38,38,33,37,64,60
308,14,Strategic,37,36,33,35,60,59
308,18,Altruistic,35,35,37,36,68,56
308,18,Strategic,38,44,37,32,60,49
308,20,Altruistic,70,59,50,53,80,82
308,20,Strategic,47,42,37,48,76,48
309,6,Altruistic,26,5,4,3,0,32
